index,province,country,lat,long,date,confirmed,deaths,capital city,humidity,sunHour,temp,windspeed
1,Ontario,Canada,51.2538,-85.3232,"22,01,20",0,0,Ottawa,89,8.7,-1,18
2,Ontario,Canada,51.2538,-85.3232,"23,01,20",0,0,Ottawa,91,3.5,0,8
3,Ontario,Canada,51.2538,-85.3232,"24,01,20",0,0,Ottawa,94,3.5,-1,13
4,Ontario,Canada,51.2538,-85.3232,"25,01,20",0,0,Ottawa,96,3.5,-1,19
5,Ontario,Canada,51.2538,-85.3232,"26,01,20",1,0,Ottawa,99,4.9,1,12
6,Ontario,Canada,51.2538,-85.3232,"27,01,20",1,0,Ottawa,93,4.9,-1,13
7,Ontario,Canada,51.2538,-85.3232,"28,01,20",1,0,Ottawa,91,9.8,-4,11
8,Ontario,Canada,51.2538,-85.3232,"29,01,20",1,0,Ottawa,88,9.8,-6,10
9,Ontario,Canada,51.2538,-85.3232,"30,01,20",1,0,Ottawa,89,8.3,-9,3
10,Ontario,Canada,51.2538,-85.3232,"31,01,20",3,0,Ottawa,93,6.6,-7,3
11,Ontario,Canada,51.2538,-85.3232,"01,02,20",3,0,Ottawa,95,4.9,-2,5
12,Ontario,Canada,51.2538,-85.3232,"02,02,20",3,0,Ottawa,97,4.9,-1,6
13,Ontario,Canada,51.2538,-85.3232,"03,02,20",3,0,Ottawa,92,5,1,10
14,Ontario,Canada,51.2538,-85.3232,"04,02,20",3,0,Ottawa,90,9.9,0,9
15,Ontario,Canada,51.2538,-85.3232,"05,02,20",3,0,Ottawa,85,8.3,-10,9
16,Ontario,Canada,51.2538,-85.3232,"06,02,20",3,0,Ottawa,95,5,-4,10
17,Ontario,Canada,51.2538,-85.3232,"07,02,20",3,0,Ottawa,89,5,-6,22
18,Ontario,Canada,51.2538,-85.3232,"08,02,20",3,0,Ottawa,89,10,-15,10
19,Ontario,Canada,51.2538,-85.3232,"09,02,20",3,0,Ottawa,91,8.3,-9,6
20,Ontario,Canada,51.2538,-85.3232,"10,02,20",3,0,Ottawa,96,5.1,0,7
21,Ontario,Canada,51.2538,-85.3232,"11,02,20",3,0,Ottawa,93,5.1,0,9
22,Ontario,Canada,51.2538,-85.3232,"12,02,20",3,0,Ottawa,88,8.3,-1,15
23,Ontario,Canada,51.2538,-85.3232,"13,02,20",3,0,Ottawa,92,5.1,-3,13
24,Ontario,Canada,51.2538,-85.3232,"14,02,20",3,0,Ottawa,87,10,-17,9
25,Ontario,Canada,51.2538,-85.3232,"15,02,20",3,0,Ottawa,91,5.1,-7,16
26,Ontario,Canada,51.2538,-85.3232,"16,02,20",3,0,Ottawa,89,5.1,0,19
27,Ontario,Canada,51.2538,-85.3232,"17,02,20",3,0,Ottawa,84,10.3,-8,7
28,Ontario,Canada,51.2538,-85.3232,"18,02,20",3,0,Ottawa,93,5.2,2,21
29,Ontario,Canada,51.2538,-85.3232,"19,02,20",3,0,Ottawa,82,8.5,-9,19
30,Ontario,Canada,51.2538,-85.3232,"20,02,20",3,0,Ottawa,89,10.8,-13,9
31,Ontario,Canada,51.2538,-85.3232,"21,02,20",3,0,Ottawa,88,8.5,-3,15
32,Ontario,Canada,51.2538,-85.3232,"22,02,20",3,0,Ottawa,89,5.4,0,19
33,Ontario,Canada,51.2538,-85.3232,"23,02,20",3,0,Ottawa,95,5.4,1,10
34,Ontario,Canada,51.2538,-85.3232,"24,02,20",4,0,Ottawa,94,7,2,10
35,Ontario,Canada,51.2538,-85.3232,"25,02,20",4,0,Ottawa,92,5.5,0,9
36,Ontario,Canada,51.2538,-85.3232,"26,02,20",4,0,Ottawa,91,5.5,-1,17
37,Ontario,Canada,51.2538,-85.3232,"27,02,20",6,0,Ottawa,96,5.5,1,27
38,Ontario,Canada,51.2538,-85.3232,"28,02,20",6,0,Ottawa,88,5.5,-10,20
39,Ontario,Canada,51.2538,-85.3232,"29,02,20",11,0,Ottawa,91,5.5,-9,13
40,Ontario,Canada,51.2538,-85.3232,"01,03,20",15,0,Ottawa,88,10.1,-5,9
41,Ontario,Canada,51.2538,-85.3232,"02,03,20",18,0,Ottawa,98,5.6,3,14
42,Ontario,Canada,51.2538,-85.3232,"03,03,20",20,0,Ottawa,96,8.6,0,9
43,Ontario,Canada,51.2538,-85.3232,"04,03,20",20,0,Ottawa,92,5.6,1,20
44,Ontario,Canada,51.2538,-85.3232,"05,03,20",22,0,Ottawa,95,5.6,0,9
45,Ontario,Canada,51.2538,-85.3232,"06,03,20",25,0,Ottawa,91,5.6,-1,16
46,Ontario,Canada,51.2538,-85.3232,"07,03,20",28,0,Ottawa,83,11.3,-3,10
47,Ontario,Canada,51.2538,-85.3232,"08,03,20",29,0,Ottawa,89,8.7,3,8
48,Ontario,Canada,51.2538,-85.3232,"09,03,20",34,0,Ottawa,90,7.3,8,10
49,Ontario,Canada,51.2538,-85.3232,"10,03,20",36,0,Ottawa,92,5.9,7,16
50,Ontario,Canada,51.2538,-85.3232,"11,03,20",41,0,Ottawa,76,10.2,-2,6
51,Ontario,Canada,51.2538,-85.3232,"12,03,20",42,0,Ottawa,93,8.8,0,14
52,Ontario,Canada,51.2538,-85.3232,"13,03,20",74,0,Ottawa,83,7.4,8,27
53,Ontario,Canada,51.2538,-85.3232,"14,03,20",79,0,Ottawa,69,10.2,2,22
54,Ontario,Canada,51.2538,-85.3232,"15,03,20",104,0,Ottawa,62,11.6,-3,12
55,Ontario,Canada,51.2538,-85.3232,"16,03,20",177,0,Ottawa,78,6,-2,12
56,Ontario,Canada,51.2538,-85.3232,"17,03,20",185,1,Ottawa,83,6,5,18
57,Ontario,Canada,51.2538,-85.3232,"18,03,20",221,1,Ottawa,74,10.2,3,8
58,Ontario,Canada,51.2538,-85.3232,"19,03,20",257,1,Ottawa,84,6,4,13
59,Ontario,Canada,51.2538,-85.3232,"20,03,20",308,2,Ottawa,90,6.1,13,20
60,Ontario,Canada,51.2538,-85.3232,"21,03,20",377,3,Ottawa,55,10.2,-3,15
61,,Belgium,50.8333,4,"22,01,20",0,0,Brussels,82,6.9,5,5
62,,Belgium,50.8333,4,"23,01,20",0,0,Brussels,86,8.7,8,10
63,,Belgium,50.8333,4,"24,01,20",0,0,Brussels,76,8.7,6,5
64,,Belgium,50.8333,4,"25,01,20",0,0,Brussels,78,8.7,6,7
65,,Belgium,50.8333,4,"26,01,20",0,0,Brussels,86,8.7,8,17
66,,Belgium,50.8333,4,"27,01,20",0,0,Brussels,86,3.4,9,25
67,,Belgium,50.8333,4,"28,01,20",0,0,Brussels,71,5.2,6,29
68,,Belgium,50.8333,4,"29,01,20",0,0,Brussels,77,5.2,6,22
69,,Belgium,50.8333,4,"30,01,20",0,0,Brussels,89,5.2,9,25
70,,Belgium,50.8333,4,"31,01,20",0,0,Brussels,85,3.4,12,27
71,,Belgium,50.8333,4,"01,02,20",0,0,Brussels,83,3.4,12,27
72,,Belgium,50.8333,4,"02,02,20",0,0,Brussels,86,3.4,13,25
73,,Belgium,50.8333,4,"03,02,20",0,0,Brussels,80,3.5,11,25
74,,Belgium,50.8333,4,"04,02,20",1,0,Brussels,77,3.5,7,25
75,,Belgium,50.8333,4,"05,02,20",1,0,Brussels,84,8.7,9,6
76,,Belgium,50.8333,4,"06,02,20",1,0,Brussels,78,8.7,11,5
77,,Belgium,50.8333,4,"07,02,20",1,0,Brussels,70,8.7,11,14
78,,Belgium,50.8333,4,"08,02,20",1,0,Brussels,86,3.5,10,20
79,,Belgium,50.8333,4,"09,02,20",1,0,Brussels,78,3.5,12,45
80,,Belgium,50.8333,4,"10,02,20",1,0,Brussels,71,3.5,9,43
81,,Belgium,50.8333,4,"11,02,20",1,0,Brussels,58,7,7,34
82,,Belgium,50.8333,4,"12,02,20",1,0,Brussels,68,5.3,7,24
83,,Belgium,50.8333,4,"13,02,20",1,0,Brussels,79,3.6,9,28
84,,Belgium,50.8333,4,"14,02,20",1,0,Brussels,82,8.7,10,18
85,,Belgium,50.8333,4,"15,02,20",1,0,Brussels,80,5.4,12,30
86,,Belgium,50.8333,4,"16,02,20",1,0,Brussels,73,5.2,15,47
87,,Belgium,50.8333,4,"17,02,20",1,0,Brussels,71,8.4,10,32
88,,Belgium,50.8333,4,"18,02,20",1,0,Brussels,78,5.3,8,29
89,,Belgium,50.8333,4,"19,02,20",1,0,Brussels,77,5.3,7,23
